ticker,date,pos,neg,unc,manager_ratio,analyst_ratio,other_ratio,net_sentiment,volume,stock_return,sp500_return,sp500_close,lag_stock_return,lag_sp500_return,stock_volatility
CMCSA,2018-01-24 19:22:17,0.0603,0.0035,0.0046,0.3846153846153846,0.3846153846153846,0.2307692307692307,0.056799999999999996,48918765.0,0.01296,-0.00056,2837.54,-0.010492,0.002174,0.01494945556385099
CMCSA,2018-04-25 18:32:07,0.0591,0.0034,0.0091,0.0,0.5384615384615384,0.4615384615384615,0.0557,39680714.0,0.027286,0.001837,2639.4,-0.015353,-0.013381,0.01455740325439641
CMCSA,2018-05-14 19:32:07,0.0333,0.0208,0.0097,0.5,0.0,0.5,0.012500000000000004,19618673.0,0.007524,0.000884,2730.13,0.010773,0.001708,0.026167583388612716
CMCSA,2018-06-11 16:13:07,0.0231,0.0328,0.0061,0.75,0.0,0.25,-0.009700000000000004,25883708.0,-0.002494,0.001069,2782.0,0.0025,0.003126,0.013913566883920658
CMCSA,2018-07-26 18:26:59,0.0551,0.0097,0.0043,0.0,0.5,0.5,0.0454,40274112.0,0.039797,-0.003032,2837.44,0.000898,0.009102,0.019994442539254646
CMCSA,2018-09-07 05:09:05,0.0303,0.0152,0.011,0.5,0.5,0.0,0.0151,18144195.0,0.00696,-0.002213,2871.68,-0.009923,-0.003652,0.013762485541419395
CMCSA,2018-09-12 17:58:03,0.0435,0.0126,0.0042,0.5,0.5,0.0,0.030899999999999997,20855635.0,-0.005785,0.000357,2888.92,-0.00165,0.00374,0.008703022044733154
CMCSA,2018-10-25 17:04:25,0.0524,0.0067,0.0067,0.0,0.4666666666666667,0.5333333333333333,0.045700000000000005,33795731.0,0.05041,0.018625,2705.57,-0.042917,-0.030864,0.02568719176835889
CMCSA,2018-12-04 18:25:07,0.0477,0.0026,0.0053,0.3333333333333333,0.6666666666666666,0.0,0.0451,30187406.0,-0.037293,-0.032365,2700.06,0.003589,0.010941,0.021278774020657826
CMCSA,2019-01-23 21:30:15,0.0663,0.0034,0.009,0.4285714285714285,0.3571428571428571,0.2142857142857142,0.0629,36631053.0,0.054904,0.002203,2638.7,-0.034245,-0.014157,0.0219183488581295
CMCSA,2019-03-12 19:36:09,0.0535,0.0065,0.0104,0.5,0.5,0.0,0.047,21334137.0,0.00817,0.002953,2791.52,0.025661,0.014666,0.010725070776249257
CMCSA,2019-04-25 18:33:10,0.0567,0.0044,0.0056,0.4,0.3333333333333333,0.2666666666666666,0.0523,27719942.0,0.025806,-0.000369,2926.17,-0.003334,-0.002192,0.010501819491032138
CMCSA,2019-07-25 16:47:40,0.035,0.0194,0.013,0.4,0.4666666666666667,0.1333333333333333,0.015600000000000003,25636392.0,-0.005794,-0.005262,3003.67,0.01241,0.004688,0.009952967030544782
CMCSA,2019-09-12 06:03:05,0.0334,0.0139,0.0125,0.5,0.5,0.0,0.0195,18641144.0,0.012284,0.002879,3009.57,-0.001076,0.00723,0.013268553864515751
