ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
BKNG,2019-08-08 05:17:29,0.0272,0.0381,0.0136,0.0666666666666666,0.0,-0.010900000000000003,Consumer Cyclical,1927.14013671875,0.06557558183132883,-0.8568307205348358,2.2
BKNG,2019-11-08 04:32:22,0.0261,0.0287,0.0091,0.125,0.0,-0.002599999999999998,Consumer Cyclical,1865.761962890625,0.015816806442657816,-0.2624739083432347,2.2
BKNG,2019-11-19 21:00:10,0.0471,0.0129,0.0071,0.5,0.0,0.0342,Consumer Cyclical,1832.1141357421875,0.003955370423239568,-0.6848528799401269,2.2
BKNG,2020-02-27 06:01:20,0.041,0.0385,0.0077,0.1428571428571428,0.0,0.0025000000000000022,Consumer Cyclical,1647.9892578125,-0.010934331518112295,-0.5500390341669107,2.2
BKNG,2020-05-08 03:16:49,0.0279,0.0385,0.0159,0.0769230769230769,0.0,-0.010599999999999998,Consumer Cyclical,1420.605712890625,-0.009058762662223385,0.22319693535852403,2.2
BKNG,2020-08-07 04:27:12,0.0299,0.0371,0.0144,0.1538461538461538,0.0,-0.0072000000000000015,Consumer Cyclical,1741.9429931640625,0.0015355009317370438,0.5719313970330402,2.2
BKNG,2020-11-06 01:57:05,0.0415,0.0354,0.0281,0.1666666666666666,0.0,0.006100000000000001,Consumer Cyclical,1771.00390625,0.008731454177178355,0.40468485324962605,2.2
BKNG,2021-02-25 04:49:17,0.0378,0.0219,0.0329,0.0909090909090909,0.0,0.0159,Consumer Cyclical,2256.95654296875,-0.06969498111966144,-0.6828002950529379,2.2
BLK,2007-10-17 17:52:20,0.0382,0.0172,0.0259,0.1,0.1,0.020999999999999998,Financial Services,128.04019165039062,0.06411814908891245,,1.9
BLK,2008-01-22 21:06:50,0.029,0.0181,0.0314,0.1111111111111111,0.1111111111111111,0.0109,Financial Services,133.05776977539062,0.007443232441984637,,1.9
